Connection to (10.0.2.2, 5020) failed: [Errno 111] Connection refused
Connection to GATEWAY (10.0.2.2:5020) failed (connect() returned False). Retrying in 1.0s...


[2026-05-10 01:10:30] Bus 1: V=1.013 pu, I=97.724 A, Breaker=CLOSE
[2026-05-10 01:10:30] Bus 2: V=0.977 pu, I=190.655 A, Breaker=CLOSE
[2026-05-10 01:10:30] Bus 3: V=1.023 pu, I=377.138 A, Breaker=CLOSE
[2026-05-10 01:10:30] Bus 4: V=1.039 pu, I=121.586 A, Breaker=CLOSE
[2026-05-10 01:10:30] Bus 5: V=0.992 pu, I=101.966 A, Breaker=CLOSE


[2026-05-10 01:10:34] Bus 1: V=0.971 pu, I=319.621 A, Breaker=CLOSE
[2026-05-10 01:10:34] Bus 2: V=0.952 pu, I=184.345 A, Breaker=OPEN
[2026-05-10 01:10:34] Bus 3: V=1.014 pu, I=323.207 A, Breaker=CLOSE
[2026-05-10 01:10:34] Bus 4: V=0.972 pu, I=357.552 A, Breaker=CLOSE
[2026-05-10 01:10:34] Bus 5: V=1.030 pu, I=88.207 A, Breaker=CLOSE


[2026-05-10 01:10:38] Bus 1: V=1.030 pu, I=383.793 A, Breaker=CLOSE
[2026-05-10 01:10:38] Bus 2: V=0.984 pu, I=159.069 A, Breaker=CLOSE
[2026-05-10 01:10:38] Bus 3: V=1.045 pu, I=225.966 A, Breaker=CLOSE
[2026-05-10 01:10:38] Bus 4: V=0.959 pu, I=136.207 A, Breaker=CLOSE
[2026-05-10 01:10:38] Bus 5: V=1.034 pu, I=342.034 A, Breaker=CLOSE


[2026-05-10 01:10:45] Bus 1: V=1.030 pu, I=397.241 A, Breaker=CLOSE
[2026-05-10 01:10:45] Bus 2: V=1.003 pu, I=514.759 A, Breaker=OPEN
[2026-05-10 01:10:45] Bus 3: V=0.987 pu, I=335.241 A, Breaker=CLOSE
[2026-05-10 01:10:45] Bus 4: V=1.032 pu, I=348.966 A, Breaker=CLOSE
[2026-05-10 01:10:45] Bus 5: V=1.036 pu, I=330.379 A, Breaker=CLOSE


[2026-05-10 01:10:49] Bus 1: V=1.020 pu, I=106.069 A, Breaker=CLOSE
[2026-05-10 01:10:49] Bus 2: V=0.972 pu, I=221.517 A, Breaker=CLOSE
[2026-05-10 01:10:49] Bus 3: V=0.957 pu, I=198.931 A, Breaker=CLOSE
[2026-05-10 01:10:49] Bus 4: V=0.960 pu, I=219.241 A, Breaker=CLOSE
[2026-05-10 01:10:49] Bus 5: V=1.013 pu, I=245.414 A, Breaker=CLOSE


[2026-05-10 01:10:53] Bus 1: V=0.987 pu, I=182.690 A, Breaker=CLOSE
[2026-05-10 01:10:53] Bus 2: V=0.976 pu, I=512.483 A, Breaker=CLOSE
[2026-05-10 01:10:53] Bus 3: V=1.014 pu, I=351.103 A, Breaker=CLOSE
[2026-05-10 01:10:53] Bus 4: V=0.967 pu, I=423.069 A, Breaker=CLOSE
[2026-05-10 01:10:53] Bus 5: V=0.966 pu, I=264.069 A, Breaker=CLOSE


[2026-05-10 01:10:57] Bus 1: V=0.987 pu, I=182.690 A, Breaker=CLOSE
[2026-05-10 01:10:57] Bus 2: V=0.976 pu, I=512.483 A, Breaker=CLOSE
[2026-05-10 01:10:57] Bus 3: V=1.014 pu, I=351.103 A, Breaker=CLOSE
[2026-05-10 01:10:57] Bus 4: V=0.967 pu, I=423.069 A, Breaker=CLOSE
[2026-05-10 01:10:57] Bus 5: V=0.966 pu, I=264.069 A, Breaker=CLOSE


[2026-05-10 01:11:01] Bus 1: V=1.048 pu, I=352.655 A, Breaker=CLOSE
[2026-05-10 01:11:01] Bus 2: V=1.005 pu, I=387.345 A, Breaker=OPEN
[2026-05-10 01:11:01] Bus 3: V=1.034 pu, I=415.552 A, Breaker=CLOSE
[2026-05-10 01:11:01] Bus 4: V=0.972 pu, I=105.034 A, Breaker=CLOSE
[2026-05-10 01:11:01] Bus 5: V=0.981 pu, I=209.828 A, Breaker=CLOSE


[2026-05-10 01:11:06] Bus 1: V=0.971 pu, I=518.276 A, Breaker=OPEN
[2026-05-10 01:11:06] Bus 2: V=1.037 pu, I=218.414 A, Breaker=CLOSE
[2026-05-10 01:11:06] Bus 3: V=1.015 pu, I=258.276 A, Breaker=CLOSE
[2026-05-10 01:11:06] Bus 4: V=1.041 pu, I=278.586 A, Breaker=CLOSE
[2026-05-10 01:11:06] Bus 5: V=0.976 pu, I=201.414 A, Breaker=CLOSE


[2026-05-10 01:11:10] Bus 1: V=1.006 pu, I=202.517 A, Breaker=CLOSE
[2026-05-10 01:11:10] Bus 2: V=1.008 pu, I=479.414 A, Breaker=OPEN
[2026-05-10 01:11:10] Bus 3: V=0.989 pu, I=186.517 A, Breaker=CLOSE
[2026-05-10 01:11:10] Bus 4: V=1.049 pu, I=297.655 A, Breaker=OPEN
[2026-05-10 01:11:10] Bus 5: V=0.959 pu, I=113.448 A, Breaker=OPEN


[2026-05-10 01:11:14] Bus 1: V=0.960 pu, I=379.172 A, Breaker=CLOSE
[2026-05-10 01:11:14] Bus 2: V=1.029 pu, I=266.207 A, Breaker=OPEN
[2026-05-10 01:11:14] Bus 3: V=0.956 pu, I=267.828 A, Breaker=CLOSE
[2026-05-10 01:11:14] Bus 4: V=1.049 pu, I=305.897 A, Breaker=OPEN
[2026-05-10 01:11:14] Bus 5: V=1.047 pu, I=446.138 A, Breaker=OPEN


[2026-05-10 01:11:18] Bus 1: V=0.960 pu, I=379.172 A, Breaker=OPEN
[2026-05-10 01:11:18] Bus 2: V=1.029 pu, I=266.207 A, Breaker=CLOSE
[2026-05-10 01:11:18] Bus 3: V=0.956 pu, I=267.828 A, Breaker=OPEN
[2026-05-10 01:11:18] Bus 4: V=1.049 pu, I=305.897 A, Breaker=CLOSE
[2026-05-10 01:11:18] Bus 5: V=1.047 pu, I=446.138 A, Breaker=CLOSE


[2026-05-10 01:11:22] Bus 1: V=0.951 pu, I=426.276 A, Breaker=CLOSE
[2026-05-10 01:11:22] Bus 2: V=1.018 pu, I=318.759 A, Breaker=OPEN
[2026-05-10 01:11:22] Bus 3: V=0.976 pu, I=379.172 A, Breaker=CLOSE
[2026-05-10 01:11:22] Bus 4: V=0.961 pu, I=290.828 A, Breaker=OPEN
[2026-05-10 01:11:22] Bus 5: V=0.995 pu, I=510.483 A, Breaker=OPEN


[2026-05-10 01:11:26] Bus 1: V=1.037 pu, I=196.655 A, Breaker=CLOSE
[2026-05-10 01:11:26] Bus 2: V=1.000 pu, I=166.724 A, Breaker=OPEN
[2026-05-10 01:11:26] Bus 3: V=1.041 pu, I=452.759 A, Breaker=CLOSE
[2026-05-10 01:11:26] Bus 4: V=0.979 pu, I=377.034 A, Breaker=OPEN
[2026-05-10 01:11:26] Bus 5: V=1.010 pu, I=153.690 A, Breaker=OPEN


[2026-05-10 01:11:30] Bus 1: V=1.026 pu, I=317.276 A, Breaker=OPEN
[2026-05-10 01:11:30] Bus 2: V=1.027 pu, I=312.897 A, Breaker=CLOSE
[2026-05-10 01:11:30] Bus 3: V=0.950 pu, I=242.966 A, Breaker=OPEN
[2026-05-10 01:11:30] Bus 4: V=0.951 pu, I=522.310 A, Breaker=CLOSE
[2026-05-10 01:11:30] Bus 5: V=1.037 pu, I=437.724 A, Breaker=CLOSE


[2026-05-10 01:11:34] Bus 1: V=0.980 pu, I=115.793 A, Breaker=CLOSE
[2026-05-10 01:11:34] Bus 2: V=1.037 pu, I=486.690 A, Breaker=OPEN
[2026-05-10 01:11:34] Bus 3: V=0.958 pu, I=315.138 A, Breaker=CLOSE
[2026-05-10 01:11:34] Bus 4: V=0.956 pu, I=442.069 A, Breaker=OPEN
[2026-05-10 01:11:34] Bus 5: V=1.026 pu, I=140.862 A, Breaker=OPEN


[2026-05-10 01:11:38] Bus 1: V=0.980 pu, I=115.793 A, Breaker=CLOSE
[2026-05-10 01:11:38] Bus 2: V=1.037 pu, I=486.690 A, Breaker=OPEN
[2026-05-10 01:11:38] Bus 3: V=0.958 pu, I=315.138 A, Breaker=CLOSE
[2026-05-10 01:11:38] Bus 4: V=0.956 pu, I=442.069 A, Breaker=OPEN
[2026-05-10 01:11:38] Bus 5: V=1.026 pu, I=140.862 A, Breaker=OPEN


[2026-05-10 01:11:42] Bus 1: V=0.997 pu, I=331.000 A, Breaker=CLOSE
[2026-05-10 01:11:42] Bus 2: V=0.976 pu, I=483.621 A, Breaker=OPEN
[2026-05-10 01:11:42] Bus 3: V=0.992 pu, I=182.724 A, Breaker=CLOSE
[2026-05-10 01:11:42] Bus 4: V=1.003 pu, I=407.897 A, Breaker=OPEN
[2026-05-10 01:11:42] Bus 5: V=0.970 pu, I=232.276 A, Breaker=OPEN


[2026-05-10 01:11:46] Bus 1: V=1.049 pu, I=356.586 A, Breaker=CLOSE
[2026-05-10 01:11:46] Bus 2: V=0.993 pu, I=317.966 A, Breaker=OPEN
[2026-05-10 01:11:46] Bus 3: V=0.962 pu, I=194.379 A, Breaker=CLOSE
[2026-05-10 01:11:46] Bus 4: V=0.983 pu, I=352.862 A, Breaker=OPEN
[2026-05-10 01:11:46] Bus 5: V=0.973 pu, I=190.172 A, Breaker=OPEN


[2026-05-10 01:11:50] Bus 1: V=0.957 pu, I=382.414 A, Breaker=CLOSE
[2026-05-10 01:11:50] Bus 2: V=0.972 pu, I=500.345 A, Breaker=OPEN
[2026-05-10 01:11:50] Bus 3: V=1.035 pu, I=115.138 A, Breaker=CLOSE
[2026-05-10 01:11:50] Bus 4: V=0.973 pu, I=392.966 A, Breaker=OPEN
[2026-05-10 01:11:50] Bus 5: V=0.971 pu, I=150.621 A, Breaker=OPEN


[2026-05-10 01:11:54] Bus 1: V=1.043 pu, I=325.379 A, Breaker=CLOSE
[2026-05-10 01:11:54] Bus 2: V=0.997 pu, I=434.793 A, Breaker=OPEN
[2026-05-10 01:11:54] Bus 3: V=1.030 pu, I=166.793 A, Breaker=CLOSE
[2026-05-10 01:11:54] Bus 4: V=0.959 pu, I=289.552 A, Breaker=OPEN
[2026-05-10 01:11:54] Bus 5: V=0.992 pu, I=296.000 A, Breaker=OPEN


[2026-05-10 01:11:58] Bus 1: V=1.043 pu, I=325.379 A, Breaker=OPEN
[2026-05-10 01:11:58] Bus 2: V=0.997 pu, I=434.793 A, Breaker=CLOSE
[2026-05-10 01:11:58] Bus 3: V=1.030 pu, I=166.793 A, Breaker=OPEN
[2026-05-10 01:11:58] Bus 4: V=0.959 pu, I=289.552 A, Breaker=CLOSE
[2026-05-10 01:11:58] Bus 5: V=0.992 pu, I=296.000 A, Breaker=CLOSE


[2026-05-10 01:12:02] Bus 1: V=1.022 pu, I=376.000 A, Breaker=CLOSE
[2026-05-10 01:12:02] Bus 2: V=1.048 pu, I=125.345 A, Breaker=OPEN
[2026-05-10 01:12:02] Bus 3: V=0.990 pu, I=239.828 A, Breaker=CLOSE
[2026-05-10 01:12:02] Bus 4: V=1.036 pu, I=190.655 A, Breaker=OPEN
[2026-05-10 01:12:02] Bus 5: V=0.969 pu, I=294.759 A, Breaker=OPEN


[2026-05-10 01:12:06] Bus 1: V=0.992 pu, I=212.379 A, Breaker=CLOSE
[2026-05-10 01:12:06] Bus 2: V=0.974 pu, I=507.345 A, Breaker=OPEN
[2026-05-10 01:12:06] Bus 3: V=0.994 pu, I=470.069 A, Breaker=CLOSE
[2026-05-10 01:12:06] Bus 4: V=1.005 pu, I=109.793 A, Breaker=OPEN
[2026-05-10 01:12:06] Bus 5: V=1.049 pu, I=434.552 A, Breaker=OPEN


[2026-05-10 01:12:10] Bus 1: V=1.046 pu, I=473.793 A, Breaker=CLOSE
[2026-05-10 01:12:10] Bus 2: V=1.034 pu, I=155.862 A, Breaker=OPEN
[2026-05-10 01:12:10] Bus 3: V=0.998 pu, I=182.448 A, Breaker=CLOSE
[2026-05-10 01:12:10] Bus 4: V=0.990 pu, I=115.034 A, Breaker=OPEN
[2026-05-10 01:12:10] Bus 5: V=0.987 pu, I=528.379 A, Breaker=OPEN


[2026-05-10 01:12:14] Bus 1: V=0.976 pu, I=443.793 A, Breaker=OPEN
[2026-05-10 01:12:14] Bus 2: V=0.995 pu, I=275.586 A, Breaker=CLOSE
[2026-05-10 01:12:14] Bus 3: V=1.045 pu, I=503.414 A, Breaker=OPEN
[2026-05-10 01:12:14] Bus 4: V=1.005 pu, I=402.207 A, Breaker=CLOSE
[2026-05-10 01:12:14] Bus 5: V=0.965 pu, I=226.552 A, Breaker=CLOSE


[2026-05-10 01:12:18] Bus 1: V=0.976 pu, I=443.793 A, Breaker=CLOSE
[2026-05-10 01:12:18] Bus 2: V=0.995 pu, I=275.586 A, Breaker=OPEN
[2026-05-10 01:12:18] Bus 3: V=1.045 pu, I=503.414 A, Breaker=CLOSE
[2026-05-10 01:12:18] Bus 4: V=1.005 pu, I=402.207 A, Breaker=OPEN
[2026-05-10 01:12:18] Bus 5: V=0.965 pu, I=226.552 A, Breaker=OPEN


[2026-05-10 01:12:22] Bus 1: V=1.046 pu, I=327.759 A, Breaker=CLOSE
[2026-05-10 01:12:22] Bus 2: V=1.004 pu, I=415.690 A, Breaker=OPEN
[2026-05-10 01:12:22] Bus 3: V=0.955 pu, I=361.345 A, Breaker=CLOSE
[2026-05-10 01:12:22] Bus 4: V=1.000 pu, I=463.448 A, Breaker=OPEN
[2026-05-10 01:12:22] Bus 5: V=0.965 pu, I=529.310 A, Breaker=OPEN


[2026-05-10 01:12:26] Bus 1: V=0.958 pu, I=177.345 A, Breaker=CLOSE
[2026-05-10 01:12:26] Bus 2: V=1.009 pu, I=381.793 A, Breaker=OPEN
[2026-05-10 01:12:26] Bus 3: V=0.973 pu, I=144.690 A, Breaker=CLOSE
[2026-05-10 01:12:26] Bus 4: V=1.039 pu, I=189.103 A, Breaker=OPEN
[2026-05-10 01:12:26] Bus 5: V=1.009 pu, I=357.448 A, Breaker=OPEN


[2026-05-10 01:12:30] Bus 1: V=0.991 pu, I=347.931 A, Breaker=CLOSE
[2026-05-10 01:12:30] Bus 2: V=1.002 pu, I=498.552 A, Breaker=OPEN
[2026-05-10 01:12:30] Bus 3: V=0.970 pu, I=415.759 A, Breaker=CLOSE
[2026-05-10 01:12:30] Bus 4: V=0.973 pu, I=269.414 A, Breaker=OPEN
[2026-05-10 01:12:30] Bus 5: V=1.017 pu, I=216.448 A, Breaker=OPEN


[2026-05-10 01:12:34] Bus 1: V=0.981 pu, I=427.034 A, Breaker=CLOSE
[2026-05-10 01:12:34] Bus 2: V=0.957 pu, I=302.828 A, Breaker=OPEN
[2026-05-10 01:12:34] Bus 3: V=1.049 pu, I=501.724 A, Breaker=CLOSE
[2026-05-10 01:12:34] Bus 4: V=0.957 pu, I=190.034 A, Breaker=OPEN
[2026-05-10 01:12:34] Bus 5: V=0.976 pu, I=511.069 A, Breaker=OPEN


[2026-05-10 01:12:38] Bus 1: V=0.981 pu, I=427.034 A, Breaker=CLOSE
[2026-05-10 01:12:38] Bus 2: V=0.957 pu, I=302.828 A, Breaker=OPEN
[2026-05-10 01:12:38] Bus 3: V=1.049 pu, I=501.724 A, Breaker=CLOSE
[2026-05-10 01:12:38] Bus 4: V=0.957 pu, I=190.034 A, Breaker=OPEN
[2026-05-10 01:12:38] Bus 5: V=1.015 pu, I=90.103 A, Breaker=OPEN


[2026-05-10 01:12:42] Bus 1: V=1.038 pu, I=457.828 A, Breaker=CLOSE
[2026-05-10 01:12:42] Bus 2: V=0.986 pu, I=159.621 A, Breaker=OPEN
[2026-05-10 01:12:42] Bus 3: V=0.963 pu, I=144.172 A, Breaker=CLOSE
[2026-05-10 01:12:42] Bus 4: V=0.960 pu, I=345.276 A, Breaker=OPEN
[2026-05-10 01:12:42] Bus 5: V=0.977 pu, I=362.690 A, Breaker=OPEN


[2026-05-10 01:12:49] Bus 1: V=1.021 pu, I=173.931 A, Breaker=CLOSE
[2026-05-10 01:12:49] Bus 2: V=1.013 pu, I=201.621 A, Breaker=OPEN
[2026-05-10 01:12:49] Bus 3: V=0.998 pu, I=487.310 A, Breaker=CLOSE
[2026-05-10 01:12:49] Bus 4: V=1.034 pu, I=124.414 A, Breaker=OPEN
[2026-05-10 01:12:49] Bus 5: V=0.992 pu, I=211.517 A, Breaker=OPEN


[2026-05-10 01:12:54] Bus 1: V=0.950 pu, I=450.000 A, Breaker=CLOSE
[2026-05-10 01:12:54] Bus 2: V=1.013 pu, I=200.655 A, Breaker=OPEN
[2026-05-10 01:12:54] Bus 3: V=1.024 pu, I=323.207 A, Breaker=CLOSE
[2026-05-10 01:12:54] Bus 4: V=0.992 pu, I=93.000 A, Breaker=OPEN
[2026-05-10 01:12:54] Bus 5: V=0.957 pu, I=498.138 A, Breaker=OPEN


[2026-05-10 01:12:58] Bus 1: V=0.950 pu, I=315.586 A, Breaker=CLOSE
[2026-05-10 01:12:58] Bus 2: V=1.033 pu, I=333.448 A, Breaker=OPEN
[2026-05-10 01:12:58] Bus 3: V=0.964 pu, I=149.448 A, Breaker=CLOSE
[2026-05-10 01:12:58] Bus 4: V=0.980 pu, I=493.414 A, Breaker=OPEN
[2026-05-10 01:12:58] Bus 5: V=1.029 pu, I=453.655 A, Breaker=OPEN


[2026-05-10 01:13:03] Bus 1: V=1.040 pu, I=315.586 A, Breaker=CLOSE
[2026-05-10 01:13:03] Bus 2: V=1.033 pu, I=333.448 A, Breaker=OPEN
[2026-05-10 01:13:03] Bus 3: V=1.028 pu, I=464.414 A, Breaker=CLOSE
[2026-05-10 01:13:03] Bus 4: V=0.990 pu, I=364.793 A, Breaker=OPEN
[2026-05-10 01:13:03] Bus 5: V=0.965 pu, I=515.379 A, Breaker=OPEN


[2026-05-10 01:13:08] Bus 1: V=1.039 pu, I=173.655 A, Breaker=CLOSE
[2026-05-10 01:13:08] Bus 2: V=0.974 pu, I=136.759 A, Breaker=OPEN
[2026-05-10 01:13:08] Bus 3: V=1.028 pu, I=464.414 A, Breaker=CLOSE
[2026-05-10 01:13:08] Bus 4: V=0.990 pu, I=364.793 A, Breaker=OPEN
[2026-05-10 01:13:08] Bus 5: V=0.965 pu, I=515.379 A, Breaker=OPEN


[2026-05-10 01:13:12] Bus 1: V=1.036 pu, I=499.759 A, Breaker=CLOSE
[2026-05-10 01:13:12] Bus 2: V=1.031 pu, I=461.862 A, Breaker=OPEN
[2026-05-10 01:13:12] Bus 3: V=0.952 pu, I=433.000 A, Breaker=CLOSE
[2026-05-10 01:13:12] Bus 4: V=0.983 pu, I=506.483 A, Breaker=OPEN
[2026-05-10 01:13:12] Bus 5: V=1.030 pu, I=454.828 A, Breaker=OPEN


[2026-05-10 01:13:16] Bus 1: V=1.031 pu, I=199.379 A, Breaker=CLOSE
[2026-05-10 01:13:16] Bus 2: V=1.028 pu, I=131.862 A, Breaker=OPEN
[2026-05-10 01:13:16] Bus 3: V=1.037 pu, I=449.448 A, Breaker=CLOSE
[2026-05-10 01:13:16] Bus 4: V=0.972 pu, I=460.448 A, Breaker=OPEN
[2026-05-10 01:13:16] Bus 5: V=0.996 pu, I=223.345 A, Breaker=OPEN


[2026-05-10 01:13:20] Bus 1: V=1.029 pu, I=182.897 A, Breaker=CLOSE
[2026-05-10 01:13:20] Bus 2: V=0.952 pu, I=181.759 A, Breaker=OPEN
[2026-05-10 01:13:20] Bus 3: V=0.982 pu, I=476.897 A, Breaker=CLOSE
[2026-05-10 01:13:20] Bus 4: V=1.046 pu, I=201.586 A, Breaker=OPEN
[2026-05-10 01:13:20] Bus 5: V=1.014 pu, I=260.379 A, Breaker=OPEN


[2026-05-10 01:13:25] Bus 1: V=1.048 pu, I=309.310 A, Breaker=CLOSE
[2026-05-10 01:13:25] Bus 2: V=1.043 pu, I=133.000 A, Breaker=OPEN
[2026-05-10 01:13:25] Bus 3: V=1.047 pu, I=159.207 A, Breaker=CLOSE
[2026-05-10 01:13:25] Bus 4: V=1.046 pu, I=195.897 A, Breaker=OPEN
[2026-05-10 01:13:25] Bus 5: V=0.960 pu, I=290.828 A, Breaker=OPEN


[2026-05-10 01:13:29] Bus 1: V=1.022 pu, I=221.138 A, Breaker=CLOSE
[2026-05-10 01:13:29] Bus 2: V=1.010 pu, I=310.000 A, Breaker=OPEN
[2026-05-10 01:13:29] Bus 3: V=0.988 pu, I=345.966 A, Breaker=CLOSE
[2026-05-10 01:13:29] Bus 4: V=0.975 pu, I=410.276 A, Breaker=OPEN
[2026-05-10 01:13:29] Bus 5: V=0.950 pu, I=521.655 A, Breaker=OPEN


[2026-05-10 01:13:33] Bus 1: V=1.022 pu, I=221.138 A, Breaker=OPEN
[2026-05-10 01:13:33] Bus 2: V=1.010 pu, I=310.000 A, Breaker=CLOSE
[2026-05-10 01:13:33] Bus 3: V=0.988 pu, I=345.966 A, Breaker=OPEN
[2026-05-10 01:13:33] Bus 4: V=0.975 pu, I=410.276 A, Breaker=CLOSE
[2026-05-10 01:13:33] Bus 5: V=0.950 pu, I=521.655 A, Breaker=CLOSE


[2026-05-10 01:13:37] Bus 1: V=1.003 pu, I=403.345 A, Breaker=CLOSE
[2026-05-10 01:13:37] Bus 2: V=1.024 pu, I=374.345 A, Breaker=OPEN
[2026-05-10 01:13:37] Bus 3: V=0.986 pu, I=120.517 A, Breaker=CLOSE
[2026-05-10 01:13:37] Bus 4: V=1.016 pu, I=229.690 A, Breaker=CLOSE
[2026-05-10 01:13:37] Bus 5: V=0.981 pu, I=470.276 A, Breaker=CLOSE


[2026-05-10 01:13:41] Bus 1: V=1.021 pu, I=215.586 A, Breaker=OPEN
[2026-05-10 01:13:41] Bus 2: V=0.980 pu, I=273.138 A, Breaker=CLOSE
[2026-05-10 01:13:41] Bus 3: V=0.990 pu, I=220.414 A, Breaker=CLOSE
[2026-05-10 01:13:41] Bus 4: V=0.962 pu, I=283.793 A, Breaker=OPEN
[2026-05-10 01:13:41] Bus 5: V=1.044 pu, I=370.034 A, Breaker=CLOSE


[2026-05-10 01:13:45] Bus 1: V=1.040 pu, I=345.207 A, Breaker=CLOSE
[2026-05-10 01:13:45] Bus 2: V=0.980 pu, I=336.069 A, Breaker=OPEN
[2026-05-10 01:13:45] Bus 3: V=0.950 pu, I=225.690 A, Breaker=CLOSE
[2026-05-10 01:13:45] Bus 4: V=0.992 pu, I=345.897 A, Breaker=CLOSE
[2026-05-10 01:13:45] Bus 5: V=1.015 pu, I=288.379 A, Breaker=OPEN


[2026-05-10 01:13:49] Bus 1: V=0.994 pu, I=183.241 A, Breaker=OPEN
[2026-05-10 01:13:49] Bus 2: V=0.997 pu, I=486.241 A, Breaker=CLOSE
[2026-05-10 01:13:49] Bus 3: V=1.029 pu, I=158.103 A, Breaker=CLOSE
[2026-05-10 01:13:49] Bus 4: V=0.958 pu, I=328.724 A, Breaker=OPEN
[2026-05-10 01:13:49] Bus 5: V=1.013 pu, I=232.586 A, Breaker=CLOSE


