Memulai Server OPC UA
Endpoints other than open requested but private key and certificate are not set.
Listening on 10.0.2.2:4840
Memulai Modbus Gateway di 0.0.0.0:5020


[2026-05-05 11:09:31] [iter 1] [Bus 1] P/Q/CMD -> V_in=0.0000 pu, I_in=0.0000 A, V_out=0.0000 pu, I_out=0.0000 A, V_DT=1.0000 pu, P=0.0000 MW, Q=0.0000 MVar
[2026-05-05 11:09:31] [iter 1] [Bus 2] P/Q/CMD -> V_in=0.0000 pu, I_in=0.0000 A, V_out=0.0000 pu, I_out=0.0000 A, V_DT=1.0000 pu, P=0.0000 MW, Q=0.0000 MVar
[2026-05-05 11:09:31] [iter 1] [Bus 3] P/Q/CMD -> V_in=0.0000 pu, I_in=0.0000 A, V_out=0.0000 pu, I_out=0.0000 A, V_DT=1.0000 pu, P=0.0000 MW, Q=0.0000 MVar
[2026-05-05 11:09:31] [iter 1] [Bus 4] P/Q/CMD -> V_in=0.0000 pu, I_in=0.0000 A, V_out=0.0000 pu, I_out=0.0000 A, V_DT=1.0000 pu, P=0.0000 MW, Q=0.0000 MVar
[2026-05-05 11:09:31] [iter 1] [Bus 5] P/Q/CMD -> V_in=0.0000 pu, I_in=0.0000 A, V_out=0.0000 pu, I_out=0.0000 A, V_DT=1.0000 pu, P=0.0000 MW, Q=0.0000 MVar


[2026-05-05 11:09:35] [iter 2] [Bus 1] P/Q/CMD -> V_in=1.0120 pu, I_in=169.2600 A, V_out=1.0120 pu, I_out=169.2600 A, V_DT=1.0500 pu, P=56.7316 MW, Q=16.5467 MVar
[2026-05-05 11:09:35] [iter 2] [Bus 2] P/Q/CMD -> V_in=0.9770 pu, I_in=330.2400 A, V_out=0.9770 pu, I_out=330.2400 A, V_DT=1.0500 pu, P=126.8961 MW, Q=41.7087 MVar
[2026-05-05 11:09:35] [iter 2] [Bus 3] P/Q/CMD -> V_in=1.0220 pu, I_in=653.2600 A, V_out=1.0220 pu, I_out=653.2600 A, V_DT=1.0405 pu, P=223.4230 MW, Q=55.9951 MVar
[2026-05-05 11:09:35] [iter 2] [Bus 4] P/Q/CMD -> V_in=1.0390 pu, I_in=210.6000 A, V_out=1.0390 pu, I_out=210.6000 A, V_DT=1.0377 pu, P=81.6054 MW, Q=29.6188 MVar
[2026-05-05 11:09:35] [iter 2] [Bus 5] P/Q/CMD -> V_in=0.9920 pu, I_in=176.6600 A, V_out=0.9920 pu, I_out=176.6600 A, V_DT=1.0396 pu, P=58.0417 MW, Q=16.9288 MVar


[2026-05-05 11:09:39] [iter 3] [Bus 1] P/Q/CMD -> V_in=0.9710 pu, I_in=1091.6800 A, V_out=0.9710 pu, I_out=1091.6800 A, V_DT=1.0488 pu, P=351.0790 MW, Q=102.3981 MVar
[2026-05-05 11:09:39] [iter 3] [Bus 2] P/Q/CMD -> V_in=0.9520 pu, I_in=986.1200 A, V_out=0.9520 pu, I_out=986.1200 A, V_DT=1.0485 pu, P=369.2246 MW, Q=121.3583 MVar
[2026-05-05 11:09:39] [iter 3] [Bus 3] P/Q/CMD -> V_in=1.0140 pu, I_in=1167.0000 A, V_out=1.0140 pu, I_out=1167.0000 A, V_DT=1.0404 pu, P=396.0041 MW, Q=99.2480 MVar
[2026-05-05 11:09:39] [iter 3] [Bus 4] P/Q/CMD -> V_in=0.9720 pu, I_in=1002.7200 A, V_out=0.9720 pu, I_out=1002.7200 A, V_DT=1.0397 pu, P=363.4885 MW, Q=131.9287 MVar
[2026-05-05 11:09:39] [iter 3] [Bus 5] P/Q/CMD -> V_in=1.0300 pu, I_in=1029.6600 A, V_out=1.0300 pu, I_out=1029.6600 A, V_DT=1.0414 pu, P=351.2541 MW, Q=102.4491 MVar


[2026-05-05 11:09:43] [iter 4] [Bus 1] P/Q/CMD -> V_in=1.0300 pu, I_in=1225.6000 A, V_out=1.0300 pu, I_out=1225.6000 A, V_DT=1.0410 pu, P=418.0963 MW, Q=121.9447 MVar
[2026-05-05 11:09:43] [iter 4] [Bus 2] P/Q/CMD -> V_in=0.9840 pu, I_in=1234.9600 A, V_out=0.9840 pu, I_out=1234.9600 A, V_DT=1.0428 pu, P=477.9384 MW, Q=157.0908 MVar
