timestamp,run_id,phase,source,event,bus,v_raw,i_raw,v_final,i_final,v_dt,breaker_cmd,breaker_fb,ttl,client,detail
2026-04-29 01:50:21,20260429_013720,pre_attack,h3,final_forward,1,0.000000,0.000000,0.000000,0.000000,1.000000,1,0,,,RTU
2026-04-29 01:50:21,20260429_013720,pre_attack,h3,final_forward,2,0.000000,0.000000,0.000000,0.000000,1.000000,1,0,,,RTU
2026-04-29 01:50:21,20260429_013720,pre_attack,h3,final_forward,3,0.000000,0.000000,0.000000,0.000000,1.000000,1,0,,,RTU
2026-04-29 01:50:21,20260429_013720,pre_attack,h3,final_forward,4,0.000000,0.000000,0.000000,0.000000,1.000000,1,0,,,RTU
2026-04-29 01:50:21,20260429_013720,pre_attack,h3,final_forward,5,0.000000,0.000000,0.000000,0.000000,1.000000,1,0,,,RTU
2026-04-29 01:50:22,20260429_013720,pre_attack,h2,original_sample,1,1.013000,167.500000,1.013000,167.500000,,1,,,,
2026-04-29 01:50:22,20260429_013720,pre_attack,h2,original_sample,2,0.977000,330.240000,0.977000,330.240000,,1,,,,
2026-04-29 01:50:22,20260429_013720,pre_attack,h2,original_sample,3,1.023000,639.800000,1.023000,639.800000,,1,,,,
2026-04-29 01:50:22,20260429_013720,pre_attack,h2,original_sample,4,1.039000,212.840000,1.039000,212.840000,,1,,,,
2026-04-29 01:50:22,20260429_013720,pre_attack,h2,original_sample,5,0.992000,174.820000,0.992000,174.820000,,1,,,,
2026-04-29 01:50:25,20260429_013720,pre_attack,h3,final_forward,1,1.012000,167.500000,1.012000,167.500000,1.050041,1,1,,,RTU
2026-04-29 01:50:25,20260429_013720,pre_attack,h3,final_forward,2,0.977000,330.240000,0.977000,330.240000,1.050000,1,1,,,RTU
2026-04-29 01:50:25,20260429_013720,pre_attack,h3,final_forward,3,1.022000,639.780000,1.022000,639.780000,1.040516,1,1,,,RTU
2026-04-29 01:50:25,20260429_013720,pre_attack,h3,final_forward,4,1.039000,212.840000,1.039000,212.840000,1.037750,1,1,,,RTU
2026-04-29 01:50:25,20260429_013720,pre_attack,h3,final_forward,5,0.992000,174.820000,0.992000,174.820000,1.039604,1,1,,,RTU
2026-04-29 01:50:26,20260429_013720,pre_attack,h2,original_sample,1,0.971000,547.820000,0.971000,547.820000,,1,,,,
2026-04-29 01:50:26,20260429_013720,pre_attack,h2,original_sample,2,0.952000,319.340000,0.952000,319.340000,,1,,,,
2026-04-29 01:50:26,20260429_013720,pre_attack,h2,original_sample,3,1.014000,548.280000,1.014000,548.280000,,1,,,,
2026-04-29 01:50:26,20260429_013720,pre_attack,h2,original_sample,4,0.972000,625.920000,0.972000,625.920000,,1,,,,
2026-04-29 01:50:26,20260429_013720,pre_attack,h2,original_sample,5,1.030000,151.180000,1.030000,151.180000,,1,,,,
2026-04-29 01:50:29,20260429_013720,pre_attack,h3,final_forward,1,0.971000,547.820000,0.971000,547.820000,1.048827,1,1,,,RTU
2026-04-29 01:50:29,20260429_013720,pre_attack,h3,final_forward,2,0.952000,319.320000,0.952000,319.320000,1.048513,1,1,,,RTU
2026-04-29 01:50:29,20260429_013720,pre_attack,h3,final_forward,3,1.014000,548.280000,1.014000,548.280000,1.040415,1,1,,,RTU
2026-04-29 01:50:29,20260429_013720,pre_attack,h3,final_forward,4,0.972000,625.900000,0.972000,625.900000,1.039639,1,1,,,RTU
2026-04-29 01:50:29,20260429_013720,pre_attack,h3,final_forward,5,1.030000,151.180000,1.030000,151.180000,1.041359,1,1,,,RTU
2026-04-29 01:50:30,20260429_013720,pre_attack,h2,original_sample,1,0.971000,547.820000,0.971000,547.820000,,1,,,,
