timestamp,run_id,phase,source,event,bus,v_raw,i_raw,v_final,i_final,v_dt,breaker_cmd,breaker_fb,ttl,client,detail
2026-05-02 14:36:51,no_attack,pre_attack,h2,original_sample,1,1.013000,169.260000,1.013000,169.260000,,1,,,,
2026-05-02 14:36:51,no_attack,pre_attack,h2,original_sample,2,0.977000,330.240000,0.977000,330.240000,,1,,,,
2026-05-02 14:36:51,no_attack,pre_attack,h2,original_sample,3,1.023000,653.260000,1.023000,653.260000,,1,,,,
2026-05-02 14:36:51,no_attack,pre_attack,h2,original_sample,4,1.039000,210.600000,1.039000,210.600000,,1,,,,
2026-05-02 14:36:51,no_attack,pre_attack,h2,original_sample,5,0.992000,176.660000,0.992000,176.660000,,1,,,,
2026-05-02 14:36:55,no_attack,pre_attack,h2,original_sample,1,0.971000,553.600000,0.971000,553.600000,,1,,,,
2026-05-02 14:36:55,no_attack,pre_attack,h2,original_sample,2,0.952000,319.340000,0.952000,319.340000,,1,,,,
2026-05-02 14:36:55,no_attack,pre_attack,h2,original_sample,3,1.014000,559.820000,1.014000,559.820000,,1,,,,
2026-05-02 14:36:55,no_attack,pre_attack,h2,original_sample,4,0.972000,619.340000,0.972000,619.340000,,1,,,,
2026-05-02 14:36:55,no_attack,pre_attack,h2,original_sample,5,1.030000,152.780000,1.030000,152.780000,,1,,,,
2026-05-02 14:36:59,no_attack,pre_attack,h2,original_sample,1,1.030000,664.740000,1.030000,664.740000,,1,,,,
2026-05-02 14:36:59,no_attack,pre_attack,h2,original_sample,2,0.984000,275.540000,0.984000,275.540000,,1,,,,
2026-05-02 14:36:59,no_attack,pre_attack,h2,original_sample,3,1.045000,391.400000,1.045000,391.400000,,1,,,,
2026-05-02 14:36:59,no_attack,pre_attack,h2,original_sample,4,0.959000,235.920000,0.959000,235.920000,,1,,,,
2026-05-02 14:36:59,no_attack,pre_attack,h2,original_sample,5,1.034000,592.460000,1.034000,592.460000,,1,,,,
2026-05-02 14:37:03,no_attack,pre_attack,h2,original_sample,1,1.030000,664.740000,1.030000,664.740000,,1,,,,
2026-05-02 14:37:03,no_attack,pre_attack,h2,original_sample,2,0.984000,275.540000,0.984000,275.540000,,1,,,,
