timestamp,waktu,iterasi_ke,fase,run_id,bus,v_berfore,v_after,i_before,i_after,v_dt,breaker_cmd,breaker_fb
2026-05-10 01:10:38,3,1,attack,20260510_011036,1,0.971000,0.971000,319.620690,319.620690,1.048656,1,1
2026-05-10 01:10:38,3,1,attack,20260510_011036,2,0.952000,0.952000,184.344828,184.344828,1.035100,1,0
2026-05-10 01:10:38,3,1,attack,20260510_011036,3,1.014000,1.014000,323.206897,323.206897,1.033913,1,1
2026-05-10 01:10:38,3,1,attack,20260510_011036,4,0.972000,0.972000,357.551724,357.551724,1.035170,1,1
2026-05-10 01:10:38,3,1,attack,20260510_011036,5,1.030000,1.030000,88.206897,88.206897,1.036941,1,1
2026-05-10 01:10:42,4,1,attack,20260510_011036,1,1.030000,1.030000,383.793103,383.793103,1.047385,1,1
2026-05-10 01:10:42,4,1,attack,20260510_011036,2,0.984000,0.984000,159.068966,159.068966,1.048768,0,1
2026-05-10 01:10:42,4,1,attack,20260510_011036,3,1.045000,1.045000,225.965517,225.965517,1.040825,1,1
2026-05-10 01:10:42,4,1,attack,20260510_011036,4,0.959000,0.959000,136.172414,136.172414,1.039282,1,1
2026-05-10 01:10:42,4,1,attack,20260510_011036,5,1.034000,1.034000,342.034483,342.034483,1.041204,1,1
2026-05-10 01:10:46,5,1,attack,20260510_011036,1,1.030000,1.030000,397.241379,1545.310345,1.044814,1,1
2026-05-10 01:10:46,5,1,attack,20260510_011036,2,1.002000,1.002000,514.724138,1554.068966,1.034952,1,0
2026-05-10 01:10:46,5,1,attack,20260510_011036,3,0.987000,0.987000,335.241379,1671.379310,1.034802,1,1
2026-05-10 01:10:46,5,1,attack,20260510_011036,4,1.032000,1.032000,348.965517,348.965517,1.036267,1,1
2026-05-10 01:10:46,5,1,attack,20260510_011036,5,1.036000,1.036000,330.379310,1569.448276,1.037894,1,1
2026-05-10 01:10:50,6,1,attack,20260510_011036,1,1.020000,1.020000,106.068966,1590.724138,1.034164,1,1
2026-05-10 01:10:50,6,1,attack,20260510_011036,2,0.972000,0.972000,221.517241,1645.448276,1.037968,1,1
2026-05-10 01:10:50,6,1,attack,20260510_011036,3,0.957000,0.957000,198.931034,1585.275862,1.033936,1,1
