Memulai Server OPC UA
Endpoints other than open requested but private key and certificate are not set.
Listening on 10.0.2.2:4840
Memulai Modbus Gateway di 0.0.0.0:5020


[2026-05-05 14:59:57] [iter 1] [Bus 1] P/Q/CMD -> V_in=0.0000 pu, I_in=0.0000 A, V_out=0.0000 pu, I_out=0.0000 A, V_DT=1.0000 pu, P=0.0000 MW, Q=0.0000 MVar
[2026-05-05 14:59:57] [iter 1] [Bus 2] P/Q/CMD -> V_in=0.0000 pu, I_in=0.0000 A, V_out=0.0000 pu, I_out=0.0000 A, V_DT=1.0000 pu, P=0.0000 MW, Q=0.0000 MVar
[2026-05-05 14:59:57] [iter 1] [Bus 3] P/Q/CMD -> V_in=0.0000 pu, I_in=0.0000 A, V_out=0.0000 pu, I_out=0.0000 A, V_DT=1.0000 pu, P=0.0000 MW, Q=0.0000 MVar
[2026-05-05 14:59:57] [iter 1] [Bus 4] P/Q/CMD -> V_in=0.0000 pu, I_in=0.0000 A, V_out=0.0000 pu, I_out=0.0000 A, V_DT=1.0000 pu, P=0.0000 MW, Q=0.0000 MVar
[2026-05-05 14:59:57] [iter 1] [Bus 5] P/Q/CMD -> V_in=0.0000 pu, I_in=0.0000 A, V_out=0.0000 pu, I_out=0.0000 A, V_DT=1.0000 pu, P=0.0000 MW, Q=0.0000 MVar


[2026-05-05 15:00:01] [iter 2] [Bus 1] P/Q/CMD -> V_in=1.0120 pu, I_in=169.2414 A, V_out=1.0120 pu, I_out=169.2414 A, V_DT=1.0500 pu, P=56.7254 MW, Q=16.5449 MVar
[2026-05-05 15:00:01] [iter 2] [Bus 2] P/Q/CMD -> V_in=0.9770 pu, I_in=330.2414 A, V_out=0.9770 pu, I_out=330.2414 A, V_DT=1.0500 pu, P=126.8966 MW, Q=41.7089 MVar
[2026-05-05 15:00:01] [iter 2] [Bus 3] P/Q/CMD -> V_in=1.0220 pu, I_in=653.2759 A, V_out=1.0220 pu, I_out=653.2759 A, V_DT=1.0405 pu, P=223.4284 MW, Q=55.9964 MVar
[2026-05-05 15:00:01] [iter 2] [Bus 4] P/Q/CMD -> V_in=1.0390 pu, I_in=210.5862 A, V_out=1.0390 pu, I_out=210.5862 A, V_DT=1.0377 pu, P=81.6000 MW, Q=29.6169 MVar
[2026-05-05 15:00:01] [iter 2] [Bus 5] P/Q/CMD -> V_in=0.9920 pu, I_in=176.6552 A, V_out=0.9920 pu, I_out=176.6552 A, V_DT=1.0396 pu, P=58.0401 MW, Q=16.9284 MVar


[2026-05-05 15:00:05] [iter 3] [Bus 1] P/Q/CMD -> V_in=0.9710 pu, I_in=553.5862 A, V_out=0.9710 pu, I_out=553.5862 A, V_DT=1.0488 pu, P=178.0307 MW, Q=51.9256 MVar
[2026-05-05 15:00:05] [iter 3] [Bus 2] P/Q/CMD -> V_in=0.9520 pu, I_in=319.3103 A, V_out=0.9520 pu, I_out=319.3103 A, V_DT=1.0485 pu, P=119.5567 MW, Q=39.2964 MVar
[2026-05-05 15:00:05] [iter 3] [Bus 3] P/Q/CMD -> V_in=1.0140 pu, I_in=559.7931 A, V_out=1.0140 pu, I_out=559.7931 A, V_DT=1.0404 pu, P=189.9574 MW, Q=47.6078 MVar
[2026-05-05 15:00:05] [iter 3] [Bus 4] P/Q/CMD -> V_in=0.9720 pu, I_in=619.3448 A, V_out=0.9720 pu, I_out=619.3448 A, V_DT=1.0397 pu, P=224.5141 MW, Q=81.4877 MVar
