Connection to (10.0.2.2, 5020) failed: [Errno 111] Connection refused
Connection to GATEWAY (10.0.2.2:5020) failed (connect() returned False). Retrying in 1.0s...


[2026-05-10 00:36:35] Bus 1: V=1.013 pu, I=97.724 A, Breaker=CLOSE
[2026-05-10 00:36:35] Bus 2: V=0.977 pu, I=190.655 A, Breaker=CLOSE
[2026-05-10 00:36:35] Bus 3: V=1.023 pu, I=377.138 A, Breaker=CLOSE
[2026-05-10 00:36:35] Bus 4: V=1.039 pu, I=121.586 A, Breaker=CLOSE
[2026-05-10 00:36:35] Bus 5: V=0.992 pu, I=101.966 A, Breaker=CLOSE


[2026-05-10 00:36:39] Bus 1: V=0.971 pu, I=319.621 A, Breaker=CLOSE
[2026-05-10 00:36:39] Bus 2: V=0.952 pu, I=184.345 A, Breaker=CLOSE
[2026-05-10 00:36:39] Bus 3: V=1.014 pu, I=323.207 A, Breaker=CLOSE
[2026-05-10 00:36:39] Bus 4: V=0.972 pu, I=357.552 A, Breaker=CLOSE
[2026-05-10 00:36:39] Bus 5: V=1.030 pu, I=88.207 A, Breaker=CLOSE


[2026-05-10 00:36:43] Bus 1: V=1.030 pu, I=383.793 A, Breaker=CLOSE
[2026-05-10 00:36:43] Bus 2: V=0.984 pu, I=159.069 A, Breaker=CLOSE
[2026-05-10 00:36:43] Bus 3: V=1.045 pu, I=225.966 A, Breaker=CLOSE
[2026-05-10 00:36:43] Bus 4: V=0.959 pu, I=136.207 A, Breaker=CLOSE
[2026-05-10 00:36:43] Bus 5: V=1.034 pu, I=342.034 A, Breaker=CLOSE


[2026-05-10 00:36:50] Bus 1: V=1.030 pu, I=397.241 A, Breaker=CLOSE
[2026-05-10 00:36:50] Bus 2: V=1.003 pu, I=514.759 A, Breaker=CLOSE
[2026-05-10 00:36:50] Bus 3: V=0.987 pu, I=335.241 A, Breaker=CLOSE
[2026-05-10 00:36:50] Bus 4: V=1.032 pu, I=348.966 A, Breaker=CLOSE
[2026-05-10 00:36:50] Bus 5: V=1.036 pu, I=330.379 A, Breaker=CLOSE


[2026-05-10 00:36:54] Bus 1: V=1.020 pu, I=106.069 A, Breaker=CLOSE
[2026-05-10 00:36:54] Bus 2: V=0.972 pu, I=221.517 A, Breaker=CLOSE
[2026-05-10 00:36:54] Bus 3: V=0.957 pu, I=198.931 A, Breaker=CLOSE
[2026-05-10 00:36:54] Bus 4: V=0.960 pu, I=219.241 A, Breaker=CLOSE
[2026-05-10 00:36:54] Bus 5: V=1.013 pu, I=245.414 A, Breaker=CLOSE


[2026-05-10 00:36:59] Bus 1: V=0.987 pu, I=182.690 A, Breaker=CLOSE
[2026-05-10 00:36:59] Bus 2: V=0.976 pu, I=512.483 A, Breaker=CLOSE
[2026-05-10 00:36:59] Bus 3: V=1.014 pu, I=351.103 A, Breaker=CLOSE
[2026-05-10 00:36:59] Bus 4: V=0.967 pu, I=423.069 A, Breaker=CLOSE
[2026-05-10 00:36:59] Bus 5: V=0.966 pu, I=264.069 A, Breaker=CLOSE


[2026-05-10 00:37:03] Bus 1: V=0.987 pu, I=182.690 A, Breaker=CLOSE
[2026-05-10 00:37:03] Bus 2: V=0.976 pu, I=512.483 A, Breaker=CLOSE
[2026-05-10 00:37:03] Bus 3: V=1.014 pu, I=351.103 A, Breaker=CLOSE
[2026-05-10 00:37:03] Bus 4: V=0.967 pu, I=423.069 A, Breaker=CLOSE
[2026-05-10 00:37:03] Bus 5: V=0.966 pu, I=264.069 A, Breaker=CLOSE


[2026-05-10 00:37:07] Bus 1: V=1.048 pu, I=352.655 A, Breaker=CLOSE
[2026-05-10 00:37:07] Bus 2: V=1.005 pu, I=387.345 A, Breaker=CLOSE
[2026-05-10 00:37:07] Bus 3: V=1.034 pu, I=415.552 A, Breaker=CLOSE
[2026-05-10 00:37:07] Bus 4: V=0.972 pu, I=105.034 A, Breaker=CLOSE
[2026-05-10 00:37:07] Bus 5: V=0.981 pu, I=209.828 A, Breaker=CLOSE


[2026-05-10 00:37:11] Bus 1: V=0.971 pu, I=518.276 A, Breaker=CLOSE
[2026-05-10 00:37:11] Bus 2: V=1.037 pu, I=218.414 A, Breaker=CLOSE
[2026-05-10 00:37:11] Bus 3: V=1.015 pu, I=258.276 A, Breaker=CLOSE
[2026-05-10 00:37:11] Bus 4: V=1.041 pu, I=278.586 A, Breaker=CLOSE
[2026-05-10 00:37:11] Bus 5: V=0.976 pu, I=201.414 A, Breaker=CLOSE


[2026-05-10 00:37:15] Bus 1: V=1.006 pu, I=202.517 A, Breaker=CLOSE
[2026-05-10 00:37:15] Bus 2: V=1.008 pu, I=479.414 A, Breaker=CLOSE
[2026-05-10 00:37:15] Bus 3: V=0.989 pu, I=186.517 A, Breaker=CLOSE
[2026-05-10 00:37:15] Bus 4: V=1.049 pu, I=297.655 A, Breaker=CLOSE
[2026-05-10 00:37:15] Bus 5: V=0.959 pu, I=113.448 A, Breaker=CLOSE


[2026-05-10 00:37:19] Bus 1: V=0.960 pu, I=379.172 A, Breaker=CLOSE
[2026-05-10 00:37:19] Bus 2: V=1.029 pu, I=266.207 A, Breaker=CLOSE
[2026-05-10 00:37:19] Bus 3: V=0.956 pu, I=267.828 A, Breaker=CLOSE
[2026-05-10 00:37:19] Bus 4: V=1.049 pu, I=305.897 A, Breaker=CLOSE
[2026-05-10 00:37:19] Bus 5: V=1.047 pu, I=446.138 A, Breaker=CLOSE


[2026-05-10 00:37:23] Bus 1: V=0.960 pu, I=379.172 A, Breaker=CLOSE
[2026-05-10 00:37:23] Bus 2: V=1.029 pu, I=266.207 A, Breaker=CLOSE
[2026-05-10 00:37:23] Bus 3: V=0.956 pu, I=267.828 A, Breaker=CLOSE
[2026-05-10 00:37:23] Bus 4: V=1.049 pu, I=305.897 A, Breaker=CLOSE
[2026-05-10 00:37:23] Bus 5: V=1.047 pu, I=446.138 A, Breaker=CLOSE


[2026-05-10 00:37:27] Bus 1: V=0.951 pu, I=426.276 A, Breaker=CLOSE
[2026-05-10 00:37:27] Bus 2: V=1.018 pu, I=318.759 A, Breaker=CLOSE
[2026-05-10 00:37:27] Bus 3: V=0.976 pu, I=379.172 A, Breaker=CLOSE
[2026-05-10 00:37:27] Bus 4: V=0.961 pu, I=290.828 A, Breaker=CLOSE
[2026-05-10 00:37:27] Bus 5: V=0.995 pu, I=510.483 A, Breaker=CLOSE


[2026-05-10 00:37:31] Bus 1: V=1.037 pu, I=196.655 A, Breaker=CLOSE
[2026-05-10 00:37:31] Bus 2: V=1.000 pu, I=166.724 A, Breaker=CLOSE
[2026-05-10 00:37:31] Bus 3: V=1.041 pu, I=452.759 A, Breaker=CLOSE
[2026-05-10 00:37:31] Bus 4: V=0.979 pu, I=377.034 A, Breaker=CLOSE
[2026-05-10 00:37:31] Bus 5: V=1.010 pu, I=153.690 A, Breaker=CLOSE


[2026-05-10 00:37:35] Bus 1: V=1.026 pu, I=317.276 A, Breaker=CLOSE
[2026-05-10 00:37:35] Bus 2: V=1.027 pu, I=312.897 A, Breaker=CLOSE
[2026-05-10 00:37:35] Bus 3: V=0.950 pu, I=242.966 A, Breaker=CLOSE
[2026-05-10 00:37:35] Bus 4: V=0.951 pu, I=522.310 A, Breaker=CLOSE
[2026-05-10 00:37:35] Bus 5: V=1.037 pu, I=437.724 A, Breaker=CLOSE


[2026-05-10 00:37:39] Bus 1: V=0.980 pu, I=115.793 A, Breaker=CLOSE
[2026-05-10 00:37:39] Bus 2: V=1.037 pu, I=486.690 A, Breaker=CLOSE
[2026-05-10 00:37:39] Bus 3: V=0.958 pu, I=315.138 A, Breaker=CLOSE
[2026-05-10 00:37:39] Bus 4: V=0.956 pu, I=442.069 A, Breaker=CLOSE
[2026-05-10 00:37:39] Bus 5: V=1.026 pu, I=140.862 A, Breaker=CLOSE


[2026-05-10 00:37:43] Bus 1: V=0.980 pu, I=115.793 A, Breaker=CLOSE
[2026-05-10 00:37:43] Bus 2: V=1.037 pu, I=486.690 A, Breaker=CLOSE
[2026-05-10 00:37:43] Bus 3: V=0.958 pu, I=315.138 A, Breaker=CLOSE
[2026-05-10 00:37:43] Bus 4: V=0.956 pu, I=442.069 A, Breaker=CLOSE
[2026-05-10 00:37:43] Bus 5: V=1.026 pu, I=140.862 A, Breaker=CLOSE


[2026-05-10 00:37:47] Bus 1: V=0.997 pu, I=331.000 A, Breaker=CLOSE
[2026-05-10 00:37:47] Bus 2: V=0.976 pu, I=483.621 A, Breaker=CLOSE
[2026-05-10 00:37:47] Bus 3: V=0.992 pu, I=182.724 A, Breaker=CLOSE
[2026-05-10 00:37:47] Bus 4: V=1.003 pu, I=407.897 A, Breaker=CLOSE
[2026-05-10 00:37:47] Bus 5: V=0.970 pu, I=232.276 A, Breaker=CLOSE


[2026-05-10 00:37:51] Bus 1: V=1.049 pu, I=356.586 A, Breaker=CLOSE
[2026-05-10 00:37:51] Bus 2: V=0.993 pu, I=317.966 A, Breaker=CLOSE
[2026-05-10 00:37:51] Bus 3: V=0.962 pu, I=194.379 A, Breaker=CLOSE
[2026-05-10 00:37:51] Bus 4: V=0.983 pu, I=352.862 A, Breaker=CLOSE
[2026-05-10 00:37:51] Bus 5: V=0.973 pu, I=190.172 A, Breaker=CLOSE


[2026-05-10 00:37:55] Bus 1: V=0.957 pu, I=382.414 A, Breaker=CLOSE
[2026-05-10 00:37:55] Bus 2: V=0.972 pu, I=500.345 A, Breaker=CLOSE
[2026-05-10 00:37:55] Bus 3: V=1.035 pu, I=115.138 A, Breaker=CLOSE
[2026-05-10 00:37:55] Bus 4: V=0.973 pu, I=392.966 A, Breaker=CLOSE
[2026-05-10 00:37:55] Bus 5: V=0.971 pu, I=150.621 A, Breaker=CLOSE


[2026-05-10 00:37:59] Bus 1: V=1.043 pu, I=325.379 A, Breaker=CLOSE
[2026-05-10 00:37:59] Bus 2: V=0.997 pu, I=434.793 A, Breaker=CLOSE
[2026-05-10 00:37:59] Bus 3: V=1.030 pu, I=166.793 A, Breaker=CLOSE
[2026-05-10 00:37:59] Bus 4: V=0.959 pu, I=289.552 A, Breaker=CLOSE
[2026-05-10 00:37:59] Bus 5: V=0.992 pu, I=296.000 A, Breaker=CLOSE


[2026-05-10 00:38:03] Bus 1: V=1.043 pu, I=325.379 A, Breaker=CLOSE
[2026-05-10 00:38:03] Bus 2: V=0.997 pu, I=434.793 A, Breaker=CLOSE
[2026-05-10 00:38:03] Bus 3: V=1.030 pu, I=166.793 A, Breaker=CLOSE
[2026-05-10 00:38:03] Bus 4: V=0.959 pu, I=289.552 A, Breaker=CLOSE
[2026-05-10 00:38:03] Bus 5: V=0.992 pu, I=296.000 A, Breaker=CLOSE


[2026-05-10 00:38:07] Bus 1: V=1.022 pu, I=376.000 A, Breaker=CLOSE
[2026-05-10 00:38:07] Bus 2: V=1.048 pu, I=125.345 A, Breaker=CLOSE
[2026-05-10 00:38:07] Bus 3: V=0.990 pu, I=239.828 A, Breaker=CLOSE
[2026-05-10 00:38:07] Bus 4: V=1.036 pu, I=190.655 A, Breaker=CLOSE
[2026-05-10 00:38:07] Bus 5: V=0.969 pu, I=294.759 A, Breaker=CLOSE


[2026-05-10 00:38:11] Bus 1: V=0.992 pu, I=212.379 A, Breaker=CLOSE
[2026-05-10 00:38:11] Bus 2: V=0.974 pu, I=507.345 A, Breaker=CLOSE
[2026-05-10 00:38:11] Bus 3: V=0.994 pu, I=470.069 A, Breaker=CLOSE
[2026-05-10 00:38:11] Bus 4: V=1.005 pu, I=109.793 A, Breaker=CLOSE
[2026-05-10 00:38:11] Bus 5: V=1.049 pu, I=434.552 A, Breaker=CLOSE


[2026-05-10 00:38:15] Bus 1: V=1.046 pu, I=473.793 A, Breaker=CLOSE
[2026-05-10 00:38:15] Bus 2: V=1.034 pu, I=155.862 A, Breaker=CLOSE
[2026-05-10 00:38:15] Bus 3: V=0.998 pu, I=182.448 A, Breaker=CLOSE
[2026-05-10 00:38:15] Bus 4: V=0.990 pu, I=115.034 A, Breaker=CLOSE
[2026-05-10 00:38:15] Bus 5: V=0.987 pu, I=528.379 A, Breaker=CLOSE


[2026-05-10 00:38:19] Bus 1: V=0.976 pu, I=443.793 A, Breaker=CLOSE
[2026-05-10 00:38:19] Bus 2: V=0.995 pu, I=275.586 A, Breaker=CLOSE
[2026-05-10 00:38:19] Bus 3: V=1.045 pu, I=503.414 A, Breaker=CLOSE
[2026-05-10 00:38:19] Bus 4: V=1.005 pu, I=402.207 A, Breaker=CLOSE
[2026-05-10 00:38:19] Bus 5: V=0.965 pu, I=226.552 A, Breaker=CLOSE


[2026-05-10 00:38:23] Bus 1: V=0.976 pu, I=443.793 A, Breaker=CLOSE
