Memulai Server OPC UA
Endpoints other than open requested but private key and certificate are not set.
Listening on 10.0.2.2:4840
Memulai Modbus Gateway di 0.0.0.0:5020


[2026-05-19 14:25:44] [iter 1] [Bus 1] P/Q/CMD -> V_in=0.0000 pu, I_in=0.0000 A, PF=0.0000, V_out=0.0000 pu, I_out=0.0000 A, V_DT=1.0000 pu, P=0.0000 MW, Q=0.0000 MVar
[2026-05-19 14:26:00] [iter 5] [Bus 3] P/Q/CMD -> V_in=1.0070 pu, I_in=429.7667 A, PF=0.8827, V_out=1.0070 pu, I_out=429.7667 A, V_DT=1.0062 pu, P=72.7828 MW, Q=38.7485 MVar
[2026-05-19 14:26:00] [iter 5] [Bus 4] P/Q/CMD -> V_in=1.0080 pu, I_in=491.2000 A, PF=0.8439, V_out=1.0080 pu, I_out=491.2000 A, V_DT=1.0100 pu, P=79.6092 MW, Q=50.6107 MVar
[2026-05-19 14:26:00] [iter 5] [Bus 5] P/Q/CMD -> V_in=1.0060 pu, I_in=469.6333 A, PF=0.9702, V_out=1.0060 pu, I_out=469.6333 A, V_DT=1.0082 pu, P=87.3316 MW, Q=21.8109 MVar


[2026-05-19 14:26:04] [iter 6] [Bus 1] P/Q/CMD -> V_in=1.0170 pu, I_in=739.5667 A, PF=0.9651, V_out=1.0170 pu, I_out=739.5667 A, V_DT=1.0200 pu, P=138.3006 MW, Q=37.5281 MVar
[2026-05-19 14:26:04] [iter 6] [Bus 2] P/Q/CMD -> V_in=1.0120 pu, I_in=285.7000 A, PF=0.9159, V_out=1.0120 pu, I_out=285.7000 A, V_DT=1.0090 pu, P=50.4536 MW, Q=22.1120 MVar
[2026-05-19 14:26:04] [iter 6] [Bus 3] P/Q/CMD -> V_in=1.0080 pu, I_in=447.6333 A, PF=0.9290, V_out=1.0080 pu, I_out=447.6333 A, V_DT=1.0062 pu, P=79.8642 MW, Q=31.8150 MVar
[2026-05-19 14:26:04] [iter 6] [Bus 4] P/Q/CMD -> V_in=1.0030 pu, I_in=463.2667 A, PF=0.8964, V_out=1.0030 pu, I_out=463.2667 A, V_DT=1.0100 pu, P=79.3573 MW, Q=39.2401 MVar
[2026-05-19 14:26:04] [iter 6] [Bus 5] P/Q/CMD -> V_in=1.0070 pu, I_in=465.0333 A, PF=0.9736, V_out=1.0070 pu, I_out=465.0333 A, V_DT=1.0082 pu, P=86.8655 MW, Q=20.3657 MVar


[2026-05-19 14:26:08] [iter 7] [Bus 1] P/Q/CMD -> V_in=1.0210 pu, I_in=739.1000 A, PF=0.9651, V_out=1.0210 pu, I_out=739.1000 A, V_DT=1.0200 pu, P=138.7569 MW, Q=37.6519 MVar
[2026-05-19 14:26:08] [iter 7] [Bus 2] P/Q/CMD -> V_in=1.0060 pu, I_in=289.2000 A, PF=0.9159, V_out=1.0060 pu, I_out=289.2000 A, V_DT=1.0108 pu, P=50.7689 MW, Q=22.2502 MVar
[2026-05-19 14:26:08] [iter 7] [Bus 3] P/Q/CMD -> V_in=1.0100 pu, I_in=447.1000 A, PF=0.9290, V_out=1.0100 pu, I_out=447.1000 A, V_DT=1.0076 pu, P=79.9273 MW, Q=31.8401 MVar
[2026-05-19 14:26:08] [iter 7] [Bus 4] P/Q/CMD -> V_in=1.0140 pu, I_in=464.3000 A, PF=0.8964, V_out=1.0140 pu, I_out=464.3000 A, V_DT=1.0100 pu, P=80.4066 MW, Q=39.7589 MVar
[2026-05-19 14:26:08] [iter 7] [Bus 5] P/Q/CMD -> V_in=1.0080 pu, I_in=464.3000 A, PF=0.9736, V_out=1.0080 pu, I_out=464.3000 A, V_DT=1.0083 pu, P=86.8147 MW, Q=20.3537 MVar


[2026-05-19 14:26:12] [iter 8] [Bus 1] P/Q/CMD -> V_in=1.0210 pu, I_in=892.5667 A, PF=0.9700, V_out=1.0210 pu, I_out=892.5667 A, V_DT=1.0200 pu, P=168.4191 MW, Q=42.2098 MVar
[2026-05-19 14:26:12] [iter 8] [Bus 2] P/Q/CMD -> V_in=1.0070 pu, I_in=427.1000 A, PF=0.9005, V_out=1.0070 pu, I_out=427.1000 A, V_DT=1.0108 pu, P=73.7898 MW, Q=35.6334 MVar
[2026-05-19 14:26:12] [iter 8] [Bus 3] P/Q/CMD -> V_in=1.0040 pu, I_in=464.7333 A, PF=0.9428, V_out=1.0040 pu, I_out=464.7333 A, V_DT=1.0076 pu, P=83.8128 MW, Q=29.6349 MVar
[2026-05-19 14:26:12] [iter 8] [Bus 4] P/Q/CMD -> V_in=1.0130 pu, I_in=499.3667 A, PF=0.8274, V_out=1.0130 pu, I_out=499.3667 A, V_DT=1.0100 pu, P=79.7440 MW, Q=54.1277 MVar
[2026-05-19 14:26:12] [iter 8] [Bus 5] P/Q/CMD -> V_in=1.0030 pu, I_in=481.7000 A, PF=0.9562, V_out=1.0030 pu, I_out=481.7000 A, V_DT=1.0083 pu, P=88.0196 MW, Q=26.9448 MVar


[2026-05-19 14:26:16] [iter 9] [Bus 1] P/Q/CMD -> V_in=1.0240 pu, I_in=894.3667 A, PF=0.9700, V_out=1.0240 pu, I_out=894.3667 A, V_DT=1.0200 pu, P=169.2546 MW, Q=42.4192 MVar
[2026-05-19 14:26:16] [iter 9] [Bus 2] P/Q/CMD -> V_in=1.0030 pu, I_in=425.2000 A, PF=0.9005, V_out=1.0030 pu, I_out=425.2000 A, V_DT=1.0092 pu, P=73.1697 MW, Q=35.3340 MVar
[2026-05-19 14:26:16] [iter 9] [Bus 3] P/Q/CMD -> V_in=1.0080 pu, I_in=464.4000 A, PF=0.9428, V_out=1.0080 pu, I_out=464.4000 A, V_DT=1.0066 pu, P=84.0864 MW, Q=29.7316 MVar
[2026-05-19 14:26:16] [iter 9] [Bus 4] P/Q/CMD -> V_in=1.0060 pu, I_in=503.8667 A, PF=0.8274, V_out=1.0060 pu, I_out=503.8667 A, V_DT=1.0100 pu, P=79.9066 MW, Q=54.2381 MVar
[2026-05-19 14:26:16] [iter 9] [Bus 5] P/Q/CMD -> V_in=1.0110 pu, I_in=481.6000 A, PF=0.9562, V_out=1.0110 pu, I_out=481.6000 A, V_DT=1.0080 pu, P=88.7033 MW, Q=27.1541 MVar


[2026-05-19 14:26:20] [iter 10] [Bus 1] P/Q/CMD -> V_in=1.0200 pu, I_in=834.0000 A, PF=0.9653, V_out=1.0200 pu, I_out=834.0000 A, V_DT=1.0200 pu, P=156.4523 MW, Q=42.3252 MVar
[2026-05-19 14:26:20] [iter 10] [Bus 2] P/Q/CMD -> V_in=1.0140 pu, I_in=442.3667 A, PF=0.9269, V_out=1.0140 pu, I_out=442.3667 A, V_DT=1.0092 pu, P=79.2148 MW, Q=32.0747 MVar
[2026-05-19 14:26:20] [iter 10] [Bus 3] P/Q/CMD -> V_in=1.0080 pu, I_in=368.9667 A, PF=0.8887, V_out=1.0080 pu, I_out=368.9667 A, V_DT=1.0066 pu, P=62.9733 MW, Q=32.4885 MVar
[2026-05-19 14:26:20] [iter 10] [Bus 4] P/Q/CMD -> V_in=1.0050 pu, I_in=483.9000 A, PF=0.8625, V_out=1.0050 pu, I_out=483.9000 A, V_DT=1.0100 pu, P=79.9161 MW, Q=46.8894 MVar
[2026-05-19 14:26:20] [iter 10] [Bus 5] P/Q/CMD -> V_in=1.0100 pu, I_in=500.3333 A, PF=0.9741, V_out=1.0100 pu, I_out=500.3333 A, V_DT=1.0080 pu, P=93.7859 MW, Q=21.7705 MVar


[2026-05-19 14:26:24] [iter 11] [Bus 1] P/Q/CMD -> V_in=1.0140 pu, I_in=832.4000 A, PF=0.9653, V_out=1.0140 pu, I_out=832.4000 A, V_DT=1.0200 pu, P=155.2336 MW, Q=41.9955 MVar
[2026-05-19 14:26:24] [iter 11] [Bus 2] P/Q/CMD -> V_in=1.0120 pu, I_in=438.7333 A, PF=0.9269, V_out=1.0120 pu, I_out=438.7333 A, V_DT=1.0096 pu, P=78.4093 MW, Q=31.7485 MVar
[2026-05-19 14:26:24] [iter 11] [Bus 3] P/Q/CMD -> V_in=1.0060 pu, I_in=369.6667 A, PF=0.8887, V_out=1.0060 pu, I_out=369.6667 A, V_DT=1.0071 pu, P=62.9675 MW, Q=32.4856 MVar
[2026-05-19 14:26:24] [iter 11] [Bus 4] P/Q/CMD -> V_in=1.0060 pu, I_in=484.4000 A, PF=0.8625, V_out=1.0060 pu, I_out=484.4000 A, V_DT=1.0100 pu, P=80.0782 MW, Q=46.9845 MVar
[2026-05-19 14:26:24] [iter 11] [Bus 5] P/Q/CMD -> V_in=1.0090 pu, I_in=499.3333 A, PF=0.9741, V_out=1.0090 pu, I_out=499.3333 A, V_DT=1.0081 pu, P=93.5058 MW, Q=21.7055 MVar


[2026-05-19 14:26:28] [iter 12] [Bus 1] P/Q/CMD -> V_in=1.0200 pu, I_in=840.3333 A, PF=0.9836, V_out=1.0200 pu, I_out=840.3333 A, V_DT=1.0200 pu, P=160.6289 MW, Q=29.4547 MVar
[2026-05-19 14:26:28] [iter 12] [Bus 2] P/Q/CMD -> V_in=1.0110 pu, I_in=403.8333 A, PF=0.9584, V_out=1.0110 pu, I_out=403.8333 A, V_DT=1.0097 pu, P=74.5510 MW, Q=22.2026 MVar
[2026-05-19 14:26:28] [iter 12] [Bus 3] P/Q/CMD -> V_in=1.0060 pu, I_in=408.7333 A, PF=0.9676, V_out=1.0060 pu, I_out=408.7333 A, V_DT=1.0071 pu, P=75.8031 MW, Q=19.7803 MVar
[2026-05-19 14:26:28] [iter 12] [Bus 4] P/Q/CMD -> V_in=1.0130 pu, I_in=458.8333 A, PF=0.9061, V_out=1.0130 pu, I_out=458.8333 A, V_DT=1.0100 pu, P=80.2405 MW, Q=37.4648 MVar
[2026-05-19 14:26:28] [iter 12] [Bus 5] P/Q/CMD -> V_in=1.0050 pu, I_in=476.9000 A, PF=0.9721, V_out=1.0050 pu, I_out=476.9000 A, V_DT=1.0081 pu, P=88.7682 MW, Q=21.4197 MVar


[2026-05-19 14:26:32] [iter 13] [Bus 1] P/Q/CMD -> V_in=1.0240 pu, I_in=838.6667 A, PF=0.9836, V_out=1.0240 pu, I_out=838.6667 A, V_DT=1.0200 pu, P=160.9390 MW, Q=29.5115 MVar
[2026-05-19 14:26:32] [iter 13] [Bus 2] P/Q/CMD -> V_in=1.0060 pu, I_in=401.9000 A, PF=0.9584, V_out=1.0060 pu, I_out=401.9000 A, V_DT=1.0107 pu, P=73.8272 MW, Q=21.9870 MVar
[2026-05-19 14:26:32] [iter 13] [Bus 3] P/Q/CMD -> V_in=1.0070 pu, I_in=408.9000 A, PF=0.9676, V_out=1.0070 pu, I_out=408.9000 A, V_DT=1.0082 pu, P=75.9094 MW, Q=19.8080 MVar
[2026-05-19 14:26:32] [iter 13] [Bus 4] P/Q/CMD -> V_in=1.0140 pu, I_in=457.2333 A, PF=0.9061, V_out=1.0140 pu, I_out=457.2333 A, V_DT=1.0100 pu, P=80.0397 MW, Q=37.3710 MVar
[2026-05-19 14:26:32] [iter 13] [Bus 5] P/Q/CMD -> V_in=1.0110 pu, I_in=473.5667 A, PF=0.9721, V_out=1.0110 pu, I_out=473.5667 A, V_DT=1.0082 pu, P=88.6740 MW, Q=21.3970 MVar


[2026-05-19 14:26:36] [iter 14] [Bus 1] P/Q/CMD -> V_in=1.0170 pu, I_in=916.0667 A, PF=0.9809, V_out=1.0170 pu, I_out=916.0667 A, V_DT=1.0200 pu, P=174.1109 MW, Q=34.5262 MVar
[2026-05-19 14:26:36] [iter 14] [Bus 2] P/Q/CMD -> V_in=1.0130 pu, I_in=411.2333 A, PF=0.9495, V_out=1.0130 pu, I_out=411.2333 A, V_DT=1.0108 pu, P=75.3609 MW, Q=24.9034 MVar
[2026-05-19 14:26:36] [iter 14] [Bus 3] P/Q/CMD -> V_in=1.0080 pu, I_in=480.5000 A, PF=0.9320, V_out=1.0080 pu, I_out=480.5000 A, V_DT=1.0082 pu, P=86.0049 MW, Q=33.4476 MVar
[2026-05-19 14:26:36] [iter 14] [Bus 4] P/Q/CMD -> V_in=1.0100 pu, I_in=512.2667 A, PF=0.8129, V_out=1.0100 pu, I_out=512.2667 A, V_DT=1.0100 pu, P=80.1324 MW, Q=57.4109 MVar
[2026-05-19 14:26:36] [iter 14] [Bus 5] P/Q/CMD -> V_in=1.0070 pu, I_in=504.0000 A, PF=0.9518, V_out=1.0070 pu, I_out=504.0000 A, V_DT=1.0082 pu, P=92.0363 MW, Q=29.6589 MVar


[2026-05-19 14:26:40] [iter 15] [Bus 1] P/Q/CMD -> V_in=1.0210 pu, I_in=915.1333 A, PF=0.9809, V_out=1.0210 pu, I_out=915.1333 A, V_DT=1.0200 pu, P=174.6177 MW, Q=34.6267 MVar
[2026-05-19 14:26:40] [iter 15] [Bus 2] P/Q/CMD -> V_in=1.0120 pu, I_in=410.8000 A, PF=0.9495, V_out=1.0120 pu, I_out=410.8000 A, V_DT=1.0097 pu, P=75.2072 MW, Q=24.8526 MVar
[2026-05-19 14:26:40] [iter 15] [Bus 3] P/Q/CMD -> V_in=1.0130 pu, I_in=480.7667 A, PF=0.9320, V_out=1.0130 pu, I_out=480.7667 A, V_DT=1.0067 pu, P=86.4795 MW, Q=33.6322 MVar
[2026-05-19 14:26:40] [iter 15] [Bus 4] P/Q/CMD -> V_in=1.0080 pu, I_in=510.8667 A, PF=0.8129, V_out=1.0080 pu, I_out=510.8667 A, V_DT=1.0100 pu, P=79.7551 MW, Q=57.1407 MVar
[2026-05-19 14:26:40] [iter 15] [Bus 5] P/Q/CMD -> V_in=1.0070 pu, I_in=504.9667 A, PF=0.9518, V_out=1.0070 pu, I_out=504.9667 A, V_DT=1.0079 pu, P=92.2128 MW, Q=29.7157 MVar


[2026-05-19 14:26:44] [iter 16] [Bus 1] P/Q/CMD -> V_in=1.0180 pu, I_in=683.0667 A, PF=0.9514, V_out=1.0180 pu, I_out=683.0667 A, V_DT=1.0200 pu, P=126.0455 MW, Q=40.7996 MVar
[2026-05-19 14:26:44] [iter 16] [Bus 2] P/Q/CMD -> V_in=1.0160 pu, I_in=315.7667 A, PF=0.9232, V_out=1.0160 pu, I_out=315.7667 A, V_DT=1.0097 pu, P=56.4299 MW, Q=23.4913 MVar
[2026-05-19 14:26:44] [iter 16] [Bus 3] P/Q/CMD -> V_in=1.0040 pu, I_in=360.8667 A, PF=0.9010, V_out=1.0040 pu, I_out=360.8667 A, V_DT=1.0066 pu, P=62.1954 MW, Q=29.9463 MVar
[2026-05-19 14:26:44] [iter 16] [Bus 4] P/Q/CMD -> V_in=1.0110 pu, I_in=464.8000 A, PF=0.8950, V_out=1.0110 pu, I_out=464.8000 A, V_DT=1.0100 pu, P=80.1297 MW, Q=39.9365 MVar
[2026-05-19 14:26:44] [iter 16] [Bus 5] P/Q/CMD -> V_in=1.0060 pu, I_in=466.8667 A, PF=0.9611, V_out=1.0060 pu, I_out=466.8667 A, V_DT=1.0079 pu, P=86.0028 MW, Q=24.7155 MVar


[2026-05-19 14:26:48] [iter 17] [Bus 1] P/Q/CMD -> V_in=1.0200 pu, I_in=681.7000 A, PF=0.9514, V_out=1.0200 pu, I_out=681.7000 A, V_DT=1.0200 pu, P=126.0404 MW, Q=40.7979 MVar
[2026-05-19 14:26:48] [iter 17] [Bus 2] P/Q/CMD -> V_in=1.0180 pu, I_in=320.1333 A, PF=0.9232, V_out=1.0180 pu, I_out=320.1333 A, V_DT=1.0110 pu, P=57.3229 MW, Q=23.8630 MVar
[2026-05-19 14:26:48] [iter 17] [Bus 3] P/Q/CMD -> V_in=1.0060 pu, I_in=360.3667 A, PF=0.9010, V_out=1.0060 pu, I_out=360.3667 A, V_DT=1.0082 pu, P=62.2330 MW, Q=29.9643 MVar
[2026-05-19 14:26:48] [iter 17] [Bus 4] P/Q/CMD -> V_in=1.0090 pu, I_in=464.3667 A, PF=0.8950, V_out=1.0090 pu, I_out=464.3667 A, V_DT=1.0100 pu, P=79.8966 MW, Q=39.8203 MVar
[2026-05-19 14:26:48] [iter 17] [Bus 5] P/Q/CMD -> V_in=0.9990 pu, I_in=465.1667 A, PF=0.9611, V_out=0.9990 pu, I_out=465.1667 A, V_DT=1.0081 pu, P=85.0934 MW, Q=24.4541 MVar
