timestamp;phase;bus;v_raw;v_final;i_raw;i_final
2026-04-17 04:34:21;pre_attack;1;1.028000;1.028000;1.194000;1.194000
2026-04-17 04:34:21;pre_attack;2;0.976000;0.976000;0.599000;0.599000
2026-04-17 04:34:21;pre_attack;3;0.955000;0.955000;0.847000;0.847000
2026-04-17 04:34:21;pre_attack;4;0.969000;0.969000;1.095000;1.095000
2026-04-17 04:34:21;pre_attack;5;0.994000;0.994000;0.200000;0.200000
2026-04-17 04:34:25;pre_attack;1;0.960000;0.960000;0.109000;0.109000
2026-04-17 04:34:25;pre_attack;2;0.970000;0.970000;0.475000;0.475000
2026-04-17 04:34:25;pre_attack;3;1.033000;1.033000;1.240000;1.240000
2026-04-17 04:34:25;pre_attack;4;1.008000;1.008000;1.768000;1.768000
2026-04-17 04:34:25;pre_attack;5;0.975000;0.975000;0.585000;0.585000
2026-04-17 04:34:29;pre_attack;1;1.049000;1.049000;1.381000;1.381000
2026-04-17 04:34:29;pre_attack;2;1.008000;1.008000;1.218000;1.218000
2026-04-17 04:34:29;pre_attack;3;1.027000;1.027000;1.205000;1.205000
2026-04-17 04:34:29;pre_attack;4;0.979000;0.979000;0.580000;0.580000
2026-04-17 04:34:29;pre_attack;5;1.048000;1.048000;1.644000;1.644000
2026-04-17 04:34:33;pre_attack;1;0.999000;0.999000;0.237000;0.237000
2026-04-17 04:34:33;pre_attack;2;0.974000;0.974000;1.689000;1.689000
2026-04-17 04:34:33;pre_attack;3;0.965000;0.965000;1.151000;1.151000
2026-04-17 04:34:33;pre_attack;4;1.033000;1.033000;0.784000;0.784000
2026-04-17 04:34:33;pre_attack;5;0.962000;0.962000;0.291000;0.291000
2026-04-17 04:34:37;pre_attack;1;0.975000;0.975000;0.738000;0.738000
2026-04-17 04:34:37;pre_attack;2;0.966000;0.966000;1.216000;1.216000
2026-04-17 04:34:37;pre_attack;3;1.022000;1.022000;1.868000;1.868000
2026-04-17 04:34:37;pre_attack;4;1.016000;1.016000;1.355000;1.355000
2026-04-17 04:34:37;pre_attack;5;0.977000;0.977000;0.921000;0.921000
2026-04-17 04:34:41;pre_attack;1;0.975000;0.975000;0.738000;0.738000
2026-04-17 04:34:41;pre_attack;2;0.966000;0.966000;1.216000;1.216000
2026-04-17 04:34:41;pre_attack;3;1.022000;1.022000;1.868000;1.868000
2026-04-17 04:34:41;pre_attack;4;1.016000;1.016000;1.355000;1.355000
2026-04-17 04:34:41;pre_attack;5;0.977000;0.977000;0.921000;0.921000
2026-04-17 04:34:45;pre_attack;1;0.974000;0.974000;1.623000;1.623000
2026-04-17 04:34:45;pre_attack;2;1.047000;1.047000;0.625000;0.625000
2026-04-17 04:34:45;pre_attack;3;1.048000;1.048000;1.119000;1.119000
2026-04-17 04:34:45;pre_attack;4;0.991000;0.991000;1.163000;1.163000
2026-04-17 04:34:45;pre_attack;5;1.040000;1.040000;0.194000;0.194000
2026-04-17 04:34:49;pre_attack;1;1.037000;1.037000;1.334000;1.334000
2026-04-17 04:34:49;pre_attack;2;0.984000;0.984000;0.761000;0.761000
2026-04-17 04:34:49;pre_attack;3;1.004000;1.004000;1.795000;1.795000
2026-04-17 04:34:49;pre_attack;4;1.022000;1.022000;0.183000;0.183000
2026-04-17 04:34:49;pre_attack;5;0.962000;0.962000;0.910000;0.910000
2026-04-17 04:34:53;pre_attack;1;0.992000;0.992000;0.876000;0.876000
2026-04-17 04:34:53;pre_attack;2;0.973000;0.973000;1.426000;1.426000
2026-04-17 04:34:53;pre_attack;3;1.006000;1.006000;0.101000;0.101000
2026-04-17 04:34:53;pre_attack;4;0.974000;0.974000;1.761000;1.761000
2026-04-17 04:34:53;pre_attack;5;0.964000;0.964000;1.222000;1.222000
2026-04-17 04:34:57;pre_attack;1;0.967000;0.967000;1.337000;1.337000
2026-04-17 04:34:57;pre_attack;2;0.971000;0.971000;1.810000;1.810000
2026-04-17 04:34:57;pre_attack;3;0.982000;0.982000;0.201000;0.201000
2026-04-17 04:34:57;pre_attack;4;0.966000;0.966000;1.465000;1.465000
2026-04-17 04:34:57;pre_attack;5;1.040000;1.040000;1.931000;1.931000
2026-04-17 04:35:01;pre_attack;1;0.967000;0.967000;1.337000;1.337000
2026-04-17 04:35:01;pre_attack;2;0.971000;0.971000;1.810000;1.810000
2026-04-17 04:35:01;pre_attack;3;0.982000;0.982000;0.201000;0.201000
2026-04-17 04:35:01;pre_attack;4;0.966000;0.966000;1.465000;1.465000
2026-04-17 04:35:01;pre_attack;5;1.040000;1.040000;1.931000;1.931000
2026-04-17 04:35:05;pre_attack;1;0.980000;0.980000;0.316000;0.316000
2026-04-17 04:35:05;pre_attack;2;0.960000;0.960000;1.854000;1.854000
2026-04-17 04:35:05;pre_attack;3;0.997000;0.997000;0.786000;0.786000
2026-04-17 04:35:05;pre_attack;4;0.975000;0.975000;0.377000;0.377000
2026-04-17 04:35:05;pre_attack;5;0.984000;0.984000;0.956000;0.956000
2026-04-17 04:35:09;pre_attack;1;0.951000;0.951000;1.696000;1.696000
2026-04-17 04:35:09;pre_attack;2;0.953000;0.953000;0.558000;0.558000
2026-04-17 04:35:09;pre_attack;3;1.010000;1.010000;0.536000;0.536000
2026-04-17 04:35:09;pre_attack;4;1.020000;1.020000;1.272000;1.272000
2026-04-17 04:35:09;pre_attack;5;1.002000;1.002000;1.281000;1.281000
2026-04-17 04:35:13;pre_attack;1;0.955000;0.955000;1.247000;1.247000
2026-04-17 04:35:13;pre_attack;2;0.962000;0.962000;1.703000;1.703000
2026-04-17 04:35:13;pre_attack;3;1.040000;1.040000;1.618000;1.618000
2026-04-17 04:35:13;pre_attack;4;0.998000;0.998000;1.261000;1.261000
2026-04-17 04:35:13;pre_attack;5;1.047000;1.047000;1.924000;1.924000
2026-04-17 04:35:17;pre_attack;1;0.993000;0.993000;1.732000;1.732000
2026-04-17 04:35:17;pre_attack;2;0.981000;0.981000;1.246000;1.246000
2026-04-17 04:35:17;pre_attack;3;1.024000;1.024000;0.837000;0.837000
2026-04-17 04:35:17;pre_attack;4;0.951000;0.951000;0.871000;0.871000
2026-04-17 04:35:17;pre_attack;5;0.973000;0.973000;1.900000;1.900000
2026-04-17 04:35:21;post_attack;1;0.997000;0.798000;1.865000;2.763000
2026-04-17 04:35:21;post_attack;2;0.992000;0.726000;1.535000;2.512000
2026-04-17 04:35:21;post_attack;3;1.026000;0.757000;1.696000;3.549000
2026-04-17 04:35:21;post_attack;4;1.034000;0.740000;1.784000;2.678000
2026-04-17 04:35:21;post_attack;5;0.997000;0.751000;1.057000;3.027000
2026-04-17 04:35:25;post_attack;1;0.997000;0.791000;1.865000;2.636000
2026-04-17 04:35:25;post_attack;2;0.992000;0.790000;1.535000;3.838000
2026-04-17 04:35:25;post_attack;3;1.026000;0.768000;1.696000;3.077000
2026-04-17 04:35:25;post_attack;4;1.034000;0.766000;1.784000;3.826000
2026-04-17 04:35:25;post_attack;5;0.997000;0.791000;1.057000;3.366000
